size_bytes,time_us
1024,59.4559982419014
3678,44.92799937725067
6332,45.9199994802475
8986,42.688000947237015
11640,41.37599840760231
14294,42.14400053024292
16948,42.01599955558777
19602,41.728001087903976
22256,41.85599833726883
24910,41.6640006005764
27564,43.5199998319149
30218,41.600000113248825
32872,40.863998234272
35526,41.120000183582306
38180,41.69600084424019
40834,40.64000025391579
43488,40.511999279260635
46142,41.85599833726883
48796,41.120000183582306
51450,41.24800115823746
54104,49.0880012512207
56758,41.88799858093262
59412,41.471999138593674
62066,40.57599976658821
64720,41.21600091457367
67375,40.92799872159958
70029,40.44799879193306
72683,40.672000497579575
75337,41.98399931192398
77991,44.12800073623657
80645,41.4079986512661
83299,41.439998894929886
85953,41.760001331567764
88607,40.800001472234726
91261,41.919998824596405
93915,41.50399938225746
96569,40.608000010252
99223,48.35199937224388
101877,41.600000113248825
104531,41.120000183582306
107185,41.728001087903976
109839,41.6640006005764
112493,41.56799986958504
115147,41.08799993991852
117801,41.02399945259094
120455,41.31200164556503
123109,40.41599854826927
125763,40.47999903559685
128417,42.27200150489807
131072,42.59200021624565
143252,41.34399816393852
156565,41.34399816393852
171116,41.439998894929886
187018,41.34399816393852
204398,42.01599955558777
223393,41.120000183582306
244154,41.31200164556503
266844,42.847998440265656
291643,45.024000108242035
318746,46.84799909591675
348368,48.767998814582825
380743,51.35999992489815
416127,54.07999828457832
454799,57.8560009598732
497065,61.47199869155884
543259,64.57599997520447
593746,68.4799998998642
648925,72.06399738788605
709231,77.69600301980972
775142,82.07999914884567
847179,88.03199976682663
925910,93.98400038480759
1011957,100.35199671983719
1106002,113.43999952077866
1208786,117.34399944543839
1321122,125.44000148773193
1443899,134.91199910640717
1578085,130.8480054140091
1724741,143.71199905872345
1885027,153.6320000886917
2060208,164.92800414562225
2251670,179.1680008172989
2460924,193.4400051832199
2689626,209.3760073184967
2939581,226.33600234985352
3212766,247.0400035381317
3511338,242.20800399780273
3837658,262.62399554252625
4194304,285.0239872932434
4841076,326.07999444007874
5587583,374.30399656295776
6449203,391.1679983139038
7443688,449.50398802757263
8591524,513.7919783592224
9916360,545.6640124320984
11445489,832.5120210647583
13210414,922.7839708328247
15247495,974.7520089149475
17598699,1129.3439865112305
20312466,1234.5919609069824
23444702,1356.384038925171
27059937,1546.0480451583862
31232651,1745.8560466766357
36048809,1978.8800477981567
41607631,2257.823944091797
48023638,2579.1680812835693
55429011,2949.023962020874
63976311,3379.9679279327393
73841628,3923.680067062378
85228203,4455.615997314453
98370618,5111.455917358398
113539628,5876.351833343506
131047740,6752.223968505859
151255650,7768.256187438965
174579672,9028.960227966309
201500321,10351.903915405273
232572205,11856.9917678833
268435456,13834.59186553955
